rule,weight,reason
PSTE-K1,0.5,"`MUST` rule governing how a rule is written: a key word negated the wrong way is a form fault in stating the requirement, not in its content."
PSTE-K2,0.5,`MUST` rule governing how a rule is written: an unnamed actor is a form fault in the rule statement.
PSTE-K3,0.5,`MUST` rule governing how a rule is written: a key word used for a fact instead of a requirement is a type fault in form.
PSTE-S1,0.5,"`MUST` rule governing scope of application: applying PSTE rules outside target T1 is a scope fault, not a content fault."
PSTE-S2,0.8,"A writer `MUST` reproduce quoted text and code character for character. The reader acts on this text as given, and a silent change is harder to detect than an obvious one."
PSTE-S3,0.5,"`MUST` rule governing how non-conforming quotes are marked: mislabelling a quote as a conformance failure is a fault in how the writer treats T3 content, not a change to the quote."
PSTE-S4,0.8,An inflected identifier is no longer the literal string the reader must use verbatim against code or a command line. A reader who trusts it acts on a name that does not exist.
PSTE-S5,0.1,`SHOULD` rule: a missing code span is a formatting preference. The identifier text itself is unchanged.
PSTE-S6,N/A,"PSTE-S6 is `MAY` only, a permission with no obligation. There is no action a writer can take that breaks it."
PSTE-S7,N/A,"PSTE-S7 is `MAY` only, a permission with no obligation. There is no action a writer can take that breaks it."
PSTE-A1,1.0,PSTE-A1 states it defeats every other rule in this specification. Losing a fact is the one fault this specification ranks above all others.
PSTE-A2,1.0,PSTE-A2 exists only to test whether PSTE-A1 applies. Failing it means a fact was removed without the check that PSTE-A1 requires.
PSTE-A3,1.0,PSTE-A3 exists only to keep PSTE-A1's precision intact before a limit is allowed to win. Failing it means the writer lost precision that a split sentence keeps.
PSTE-L1,0.5,"`MUST` rule governing clarity: stacked hedging is a fault of precision in expression. The standard says it tells the reader less, not a removed fact."
PSTE-L2,0.5,"`MUST` rule governing clarity: filler text carries no information by the rule's own wording, so removing it loses nothing."
PSTE-L3,0.5,`MUST` rule governing order: stating the explanation before the result is a sequencing fault. The fact itself is still present.
PSTE-L4,0.5,"`MUST` rule governing clarity: the same fact stated twice is redundant, not lost. The second statement is the fault, not the first."
PSTE-L5,0.5,"`MUST` rule governing clarity: a frame phrase states no fact by the rule's own wording, so it has nothing to lose."
PSTE-V1,0.3,"`MUST` rule on word choice: an out-of-set word is understood by the reader, just not the approved form PSTE-V2 assigns it."
PSTE-V2,0.5,`MUST` rule governing meaning: an approved word used with the wrong meaning or part of speech breaks the one-word-one-meaning guarantee PSTE-V1 relies on.
PSTE-V3,0.3,"`MUST` rule on word choice: the rule's own example shows synonyms the reader already understands. The fault is rotation, not lost meaning."
PSTE-V4,0.5,"`MUST` rule governing identity: a renamed entity forces the reader to match two names to the same thing in the code, a precision fault PSTE-V1 alone does not cover."
PSTE-V5,0.3,`MUST` rule on vocabulary: a coined term where an approved word already states the meaning accurately is the vocabulary fault PSTE-V1 targets.
PSTE-V6,0.3,"`MUST` rule on vocabulary: a term noun used as a verb, or the reverse, is understood from context. The part of speech is the only fault."
PSTE-V7,0.3,"`MUST` rule on vocabulary: British and American spellings name the same word, so the fault is convention, not meaning."
PSTE-V8,0.3,"`MUST` rule on vocabulary: a Latin abbreviation is understood by most readers. The rule exists for the reader who is not one of them, not because meaning is lost."
PSTE-V9,0.3,"`MUST` rule on vocabulary: a marketing adjective such as `robust` or `seamless` states an opinion the reader discounts, not a fact the reader loses."
PSTE-V10,0.5,"`MUST` rule governing meaning: the four modal meanings are genuinely different, so the wrong modal verb can flip what a sentence requires. A precision fault closer to form than to vocabulary."
PSTE-G1,0.5,"`MUST` rule governing grammar: passive voice drops the actor. This specification calls this a readability loss, not a fact loss under PSTE-A1."
